seed_model,alpha,interp_type,acc_t1,acc_t3,gain
12,0.3,zero,0.695000,0.770000,0.075000
12,0.3,shuffle,0.695000,0.670000,-0.025000
12,0.3,clone,0.695000,0.715000,0.020000
12,0.4,zero,0.695000,0.795000,0.100000
12,0.4,shuffle,0.695000,0.710000,0.015000
12,0.4,clone,0.695000,0.745000,0.050000
12,0.5,zero,0.695000,0.795000,0.100000
12,0.5,shuffle,0.695000,0.725000,0.030000
12,0.5,clone,0.695000,0.765000,0.070000
12,0.6,zero,0.695000,0.800000,0.105000
12,0.6,shuffle,0.695000,0.770000,0.075000
12,0.6,clone,0.695000,0.785000,0.090000
12,0.7,zero,0.695000,0.810000,0.115000
12,0.7,shuffle,0.695000,0.795000,0.100000
12,0.7,clone,0.695000,0.785000,0.090000
12,0.8,zero,0.695000,0.810000,0.115000
12,0.8,shuffle,0.695000,0.815000,0.120000
12,0.8,clone,0.695000,0.815000,0.120000
12,0.9,zero,0.695000,0.810000,0.115000
12,0.9,shuffle,0.695000,0.820000,0.125000
12,0.9,clone,0.695000,0.810000,0.115000
12,1.0,zero,0.695000,0.815000,0.120000
12,1.0,shuffle,0.695000,0.815000,0.120000
12,1.0,clone,0.695000,0.815000,0.120000
13,0.0,zero,0.745000,0.745000,0.000000
13,0.0,shuffle,0.745000,0.525000,-0.220000
13,0.0,clone,0.745000,0.605000,-0.140000
13,0.1,zero,0.745000,0.750000,0.005000
13,0.1,shuffle,0.745000,0.540000,-0.205000
13,0.1,clone,0.745000,0.630000,-0.115000
13,0.2,zero,0.745000,0.740000,-0.005000
13,0.2,shuffle,0.745000,0.585000,-0.160000
13,0.2,clone,0.745000,0.640000,-0.105000
13,0.3,zero,0.745000,0.745000,0.000000
13,0.3,shuffle,0.745000,0.610000,-0.135000
13,0.3,clone,0.745000,0.680000,-0.065000
13,0.4,zero,0.745000,0.740000,-0.005000
13,0.4,shuffle,0.745000,0.645000,-0.100000
13,0.4,clone,0.745000,0.680000,-0.065000
13,0.5,zero,0.745000,0.740000,-0.005000
13,0.5,shuffle,0.745000,0.685000,-0.060000
13,0.5,clone,0.745000,0.690000,-0.055000
13,0.6,zero,0.745000,0.750000,0.005000
13,0.6,shuffle,0.745000,0.695000,-0.050000
13,0.6,clone,0.745000,0.720000,-0.025000
13,0.7,zero,0.745000,0.745000,0.000000
13,0.7,shuffle,0.745000,0.720000,-0.025000
13,0.7,clone,0.745000,0.720000,-0.025000
13,0.8,zero,0.745000,0.745000,0.000000
13,0.8,shuffle,0.745000,0.715000,-0.030000
13,0.8,clone,0.745000,0.750000,0.005000
13,0.9,zero,0.745000,0.755000,0.010000
13,0.9,shuffle,0.745000,0.725000,-0.020000
13,0.9,clone,0.745000,0.745000,0.000000
13,1.0,zero,0.745000,0.755000,0.010000
13,1.0,shuffle,0.745000,0.755000,0.010000
13,1.0,clone,0.745000,0.755000,0.010000
14,0.0,zero,0.665000,0.665000,0.000000
14,0.0,shuffle,0.665000,0.605000,-0.060000
14,0.0,clone,0.665000,0.585000,-0.080000
14,0.1,zero,0.665000,0.690000,0.025000
14,0.1,shuffle,0.665000,0.615000,-0.050000
14,0.1,clone,0.665000,0.620000,-0.045000
14,0.2,zero,0.665000,0.695000,0.030000
14,0.2,shuffle,0.665000,0.640000,-0.025000
14,0.2,clone,0.665000,0.650000,-0.015000
14,0.3,zero,0.665000,0.720000,0.055000
14,0.3,shuffle,0.665000,0.675000,0.010000
14,0.3,clone,0.665000,0.650000,-0.015000
14,0.4,zero,0.665000,0.750000,0.085000
14,0.4,shuffle,0.665000,0.745000,0.080000
14,0.4,clone,0.665000,0.640000,-0.025000
14,0.5,zero,0.665000,0.750000,0.085000
14,0.5,shuffle,0.665000,0.735000,0.070000
14,0.5,clone,0.665000,0.665000,0.000000
14,0.6,zero,0.665000,0.765000,0.100000
14,0.6,shuffle,0.665000,0.755000,0.090000
14,0.6,clone,0.665000,0.685000,0.020000
14,0.7,zero,0.665000,0.765000,0.100000
14,0.7,shuffle,0.665000,0.745000,0.080000
14,0.7,clone,0.665000,0.700000,0.035000
14,0.8,zero,0.665000,0.755000,0.090000
14,0.8,shuffle,0.665000,0.740000,0.075000
14,0.8,clone,0.665000,0.720000,0.055000
14,0.9,zero,0.665000,0.750000,0.085000
14,0.9,shuffle,0.665000,0.740000,0.075000
14,0.9,clone,0.665000,0.740000,0.075000
14,1.0,zero,0.665000,0.750000,0.085000
14,1.0,shuffle,0.665000,0.750000,0.085000
14,1.0,clone,0.665000,0.750000,0.085000
15,0.0,zero,0.610000,0.610000,0.000000
15,0.0,shuffle,0.610000,0.615000,0.005000
15,0.0,clone,0.610000,0.350000,-0.260000
15,0.1,zero,0.610000,0.635000,0.025000
15,0.1,shuffle,0.610000,0.620000,0.010000
15,0.1,clone,0.610000,0.365000,-0.245000
15,0.2,zero,0.610000,0.635000,0.025000
15,0.2,shuffle,0.610000,0.635000,0.025000
15,0.2,clone,0.610000,0.385000,-0.225000
15,0.3,zero,0.610000,0.645000,0.035000
15,0.3,shuffle,0.610000,0.645000,0.035000
15,0.3,clone,0.610000,0.385000,-0.225000
15,0.4,zero,0.610000,0.645000,0.035000
15,0.4,shuffle,0.610000,0.670000,0.060000
15,0.4,clone,0.610000,0.440000,-0.170000
15,0.5,zero,0.610000,0.655000,0.045000
15,0.5,shuffle,0.610000,0.655000,0.045000
15,0.5,clone,0.610000,0.450000,-0.160000
15,0.6,zero,0.610000,0.675000,0.065000
15,0.6,shuffle,0.610000,0.655000,0.045000
15,0.6,clone,0.610000,0.515000,-0.095000
