w1,w2,w3,tau,seed_model,acc_t1,acc_t2,acc_t3,gain,r_norm,delta_norm
0.0,0.2,1.0,3.0,0,0.77,0.825,0.83,0.05999999999999994,2.170323043645256,1.7076859790634245
0.0,0.2,1.0,3.0,2,0.665,0.775,0.795,0.13,2.583255412822357,2.1255805337377778
0.0,0.2,1.0,2.0,6,0.77,0.715,0.705,-0.06500000000000006,2.2038775012155285,0.9671883850226908
0.0,0.2,1.0,2.0,9,0.79,0.83,0.825,0.03499999999999992,2.506064786848454,1.6235938422503018
0.0,0.2,1.0,3.0,3,0.77,0.775,0.785,0.015000000000000013,2.6937062330361754,1.7841411780623782
0.0,0.2,1.0,3.0,4,0.775,0.855,0.895,0.12,2.333776942660121,1.627043757315787
0.0,0.2,1.0,3.0,5,0.785,0.79,0.785,0.0,2.0275011453904463,1.0175594499378342
0.0,0.2,1.0,3.0,7,0.81,0.835,0.82,0.009999999999999898,1.8926383776826652,1.237323761383904
0.0,0.2,1.0,3.0,8,0.73,0.785,0.79,0.06000000000000005,2.125682546189131,1.361567457590603
0.0,0.2,1.0,3.0,6,0.775,0.735,0.73,-0.04500000000000004,1.694286319949624,0.776472427065435
0.0,0.2,1.0,3.0,9,0.825,0.825,0.83,0.0050000000000000044,2.0615902917009135,1.3497547312191853
0.0,0.2,1.0,5.0,0,0.79,0.825,0.85,0.05999999999999994,1.5826254296113385,1.3018608441114623
0.0,0.2,1.0,5.0,1,0.825,0.875,0.87,0.04500000000000004,1.6256064776175816,1.3139954733250654
0.0,0.2,1.0,5.0,8,0.78,0.775,0.77,-0.010000000000000009,1.3333879231087744,0.7714005041296464
0.0,0.2,1.0,5.0,2,0.705,0.795,0.815,0.10999999999999999,2.050460323827813,1.6289684727059954
0.0,0.2,1.0,5.0,6,0.8,0.775,0.765,-0.03500000000000003,1.1435305708460806,0.5417088576078133
0.0,0.2,1.0,5.0,7,0.815,0.835,0.815,0.0,1.3633983229181563,0.9165224230946647
0.0,0.2,1.0,5.0,3,0.78,0.795,0.795,0.015000000000000013,1.8638691216815604,1.1702793479605207
0.0,0.2,1.0,5.0,4,0.8,0.875,0.895,0.09499999999999997,1.711138574735753,1.1548606051666244
0.0,0.3,1.0,1.0,0,0.775,0.855,0.81,0.03500000000000003,3.6444207349693487,1.9928752400060108
0.0,0.3,1.0,1.0,3,0.725,0.79,0.78,0.05500000000000005,3.5090561614618303,2.026242542037079
0.0,0.2,1.0,5.0,5,0.8,0.795,0.785,-0.015000000000000013,1.414224908789435,0.7025644593170073
0.0,0.3,1.0,1.0,1,0.78,0.81,0.825,0.04499999999999993,3.4002067598666326,2.0216686280756697
0.0,0.3,1.0,1.0,6,0.725,0.685,0.67,-0.05499999999999994,3.0860739657944496,1.2964381433832495
0.0,0.2,1.0,5.0,9,0.82,0.82,0.825,0.0050000000000000044,1.4548058862802122,0.9326708981173084
0.0,0.3,1.0,1.0,2,0.68,0.75,0.79,0.10999999999999999,3.4746395913569437,2.568748372244834
0.0,0.3,1.0,1.0,4,0.7,0.795,0.775,0.07500000000000007,3.7439018580880905,2.3908101561551875
0.0,0.3,1.0,1.0,7,0.765,0.78,0.78,0.015000000000000013,3.046456395002125,1.6709076061814787
0.0,0.3,1.0,1.0,5,0.715,0.785,0.77,0.05500000000000005,3.0453086290966427,1.5833057578711773
0.0,0.3,1.0,1.0,8,0.64,0.755,0.765,0.125,3.663217510282929,2.4067727414136857
0.0,0.3,1.0,1.0,9,0.76,0.82,0.805,0.04500000000000004,3.323496531348369,2.2721820208351264
0.0,0.3,1.0,1.5,0,0.81,0.845,0.855,0.04499999999999993,3.178744442479001,1.9418514754525071
