seed,aligner_size,shuffled_donor_gain,acc_t1,acc_t3,shuffled_donor_gain_std,shuffled_donor_n_repeats,closed_loop_gain,bl_gain,c2_raw_gain
17,MLP-small,-0.014000012477238973,0.39500001072883606,0.3809999982515971,0.026568066223858752,30,,0.31999996304512024,-0.030000001192092896
17,MLP-medium,-0.01683334509531657,0.39500001072883606,0.37816666563351947,0.026408047994516275,30,,0.31999996304512024,-0.030000001192092896
17,MLP-large,-0.021000008781750998,0.39500001072883606,0.37400000194708505,0.02666522854217132,30,,0.31999996304512024,-0.030000001192092896
18,affine,-0.19016668995221456,0.7300000190734863,0.5398333291212718,0.03190728454397297,30,,0.1499999761581421,0.009999990463256836
18,MLP-small,-0.1926666885614395,0.7300000190734863,0.5373333305120468,0.03300295637372149,30,,0.1499999761581421,0.009999990463256836
18,MLP-medium,-0.13533334732055663,0.7300000190734863,0.5946666717529296,0.02330211500091799,30,,0.1499999761581421,0.009999990463256836
18,MLP-large,-0.20750001966953277,0.7300000190734863,0.5224999994039535,0.02670884091525961,30,,0.1499999761581421,0.009999990463256836
19,affine,-0.17450000445048014,0.7400000095367432,0.565500005086263,0.03404738501223253,30,,0.22499996423721313,0.019999980926513672
19,MLP-small,-0.21533334652582806,0.7400000095367432,0.5246666630109151,0.03337181958097742,30,,0.22499996423721313,0.019999980926513672
19,MLP-medium,-0.24900000890096027,0.7400000095367432,0.49100000063578286,0.03127739981325184,30,,0.22499996423721313,0.019999980926513672
19,MLP-large,-0.25100001096725466,0.7400000095367432,0.4889999985694885,0.03467583629618622,30,,0.22499996423721313,0.019999980926513672
