seed,noise,bl_acc_t1,bl_acc_t3,bl_gain,e1_acc_t1,e1_acc_t3,e1_acc_probmean,e1_acc_logprod,e1_gain_t1_to_t3,e1_gain_probmean,e1_gain_logprod,elapsed_s
16,0.7,0.685,0.87,0.18499999999999994,0.685,0.7,0.845,0.87,0.014999999999999902,0.15999999999999992,0.18499999999999994,
17,0.7,0.555,0.705,0.1499999999999999,0.555,0.56,0.735,0.745,0.0050000000000000044,0.17999999999999994,0.18999999999999995,
18,0.7,0.57,0.77,0.20000000000000007,0.57,0.665,0.83,0.8,0.09500000000000008,0.26,0.2300000000000001,
19,0.7,0.62,0.8,0.18000000000000005,0.62,0.68,0.835,0.825,0.06000000000000005,0.21499999999999997,0.20499999999999996,
0,1.0,0.53,0.67,0.14,0.53,0.535,0.675,0.705,0.0050000000000000044,0.14500000000000002,0.17499999999999993,
1,1.0,0.51,0.605,0.09499999999999997,0.51,0.505,0.665,0.66,-0.0050000000000000044,0.15500000000000003,0.15000000000000002,
2,1.0,0.485,0.675,0.19000000000000006,0.485,0.5,0.625,0.665,0.015000000000000013,0.14,0.18000000000000005,
3,1.0,0.475,0.55,0.07500000000000007,0.475,0.43,0.595,0.6,-0.044999999999999984,0.12,0.125,
4,1.0,0.545,0.675,0.13,0.545,0.505,0.665,0.705,-0.040000000000000036,0.12,0.15999999999999992,
5,1.0,0.45,0.665,0.21500000000000002,0.45,0.485,0.585,0.61,0.034999999999999976,0.13499999999999995,0.15999999999999998,
6,1.0,0.435,0.605,0.16999999999999998,0.435,0.51,0.55,0.585,0.07500000000000001,0.11500000000000005,0.14999999999999997,
7,1.0,0.575,0.59,0.015000000000000013,0.575,0.45,0.67,0.655,-0.12499999999999994,0.09500000000000008,0.08000000000000007,
8,1.0,0.465,0.645,0.18,0.465,0.505,0.6,0.63,0.03999999999999998,0.13499999999999995,0.16499999999999998,
9,1.0,0.515,0.66,0.14500000000000002,0.515,0.505,0.7,0.735,-0.010000000000000009,0.18499999999999994,0.21999999999999997,
10,1.0,0.455,0.505,0.04999999999999999,0.455,0.455,0.595,0.565,0.0,0.13999999999999996,0.10999999999999993,
11,1.0,0.495,0.63,0.135,0.495,0.495,0.695,0.72,0.0,0.19999999999999996,0.22499999999999998,
12,1.0,0.485,0.575,0.08999999999999997,0.485,0.44,0.6,0.62,-0.044999999999999984,0.11499999999999999,0.135,
13,1.0,0.495,0.52,0.025000000000000022,0.495,0.405,0.585,0.615,-0.08999999999999997,0.08999999999999997,0.12,
14,1.0,0.39,0.555,0.16500000000000004,0.39,0.35,0.415,0.42,-0.040000000000000036,0.024999999999999967,0.02999999999999997,
15,1.0,0.405,0.54,0.135,0.405,0.46,0.53,0.57,0.05499999999999999,0.125,0.16499999999999992,
16,1.0,0.52,0.71,0.18999999999999995,0.52,0.465,0.655,0.72,-0.05499999999999999,0.135,0.19999999999999996,
