seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
3,Baseline,0,0.5,0.735000,0.795000,0.850000,0.115000,0.048988,3.892648,4.511479
3,A,0,0.5,0.735000,0.735000,0.720000,-0.015000,0.073117,0.000000,3.519853
3,C1,avg30,0.5,0.735000,,0.646000,-0.089000,,,
3,C2,0,0.5,0.735000,0.600000,0.490000,-0.245000,0.166416,3.031867,3.949148
3,Baseline,0,0.6,0.705000,0.730000,0.785000,0.080000,0.074625,3.956175,4.986325
3,A,0,0.6,0.705000,0.670000,0.650000,-0.055000,0.061821,0.000000,4.155134
3,C1,avg30,0.6,0.705000,,0.591000,-0.114000,,,
3,C2,0,0.6,0.705000,0.580000,0.490000,-0.215000,0.183987,3.061941,4.546444
3,Baseline,0,0.7,0.615000,0.675000,0.715000,0.100000,0.092368,4.017742,5.490953
3,A,0,0.7,0.615000,0.590000,0.595000,-0.020000,0.107798,0.000000,4.768926
3,C1,avg30,0.7,0.615000,,0.543333,-0.071667,,,
3,C2,0,0.7,0.615000,0.570000,0.460000,-0.155000,0.218638,3.101926,5.145361
3,Baseline,0,0.8,0.570000,0.600000,0.625000,0.055000,0.165225,4.079490,6.026612
3,A,0,0.8,0.570000,0.545000,0.525000,-0.045000,0.173542,0.000000,5.360872
3,C1,avg30,0.8,0.570000,,0.491500,-0.078500,,,
3,C2,0,0.8,0.570000,0.515000,0.415000,-0.155000,0.276026,3.154016,5.726247
3,Baseline,0,0.9,0.535000,0.545000,0.565000,0.030000,0.223527,4.137943,6.570866
3,A,0,0.9,0.535000,0.515000,0.460000,-0.075000,0.244996,0.000000,5.940865
3,C1,avg30,0.9,0.535000,,0.450167,-0.084833,,,
3,C2,0,0.9,0.535000,0.515000,0.390000,-0.145000,0.309120,3.215556,6.294964
3,Baseline,0,1.0,0.500000,0.510000,0.475000,-0.025000,0.325208,4.194931,7.117228
3,A,0,1.0,0.500000,0.475000,0.425000,-0.075000,0.295089,0.000000,6.515790
3,C1,avg30,1.0,0.500000,,0.416500,-0.083500,,,
