seed,w1,w2,tau,gain,acc_t1,acc_t3,final_loss
6,0.7,0.2,2.0,0.14500000000000002,0.72,0.865,0.5520967247231231
7,0.7,0.2,2.0,0.050000000000000044,0.845,0.895,0.3936741517012143
8,0.7,0.2,2.0,0.14,0.765,0.905,0.3613141641154742
9,0.7,0.2,2.0,0.09499999999999997,0.865,0.96,0.2614406943253087
0,0.7,0.2,3.0,0.10999999999999999,0.835,0.945,0.31521104966133306
1,0.7,0.2,3.0,0.05500000000000005,0.875,0.93,0.23220685796703833
2,0.7,0.2,3.0,0.125,0.82,0.945,0.29980182199004896
3,0.7,0.2,3.0,0.09499999999999997,0.755,0.85,0.401315368847848
4,0.7,0.2,3.0,0.07000000000000006,0.85,0.92,0.2657102040273587
5,0.7,0.2,3.0,0.10999999999999999,0.775,0.885,0.40115685394896317
6,0.7,0.2,3.0,0.135,0.745,0.88,0.5346492069032075
7,0.7,0.2,3.0,0.025000000000000022,0.845,0.87,0.40348362363739915
8,0.7,0.2,3.0,0.14,0.77,0.91,0.3748975725747164
9,0.7,0.2,3.0,0.08499999999999996,0.86,0.945,0.2810412924219148
0,0.7,1.0,1.0,0.09500000000000008,0.835,0.93,0.3276393311850938
1,0.7,1.0,1.0,0.04500000000000004,0.865,0.91,0.21041577399282793
2,0.7,1.0,1.0,0.12,0.82,0.94,0.2671601594819576
3,0.7,1.0,1.0,0.14,0.725,0.865,0.40565513688769145
4,0.7,1.0,1.0,0.12,0.825,0.945,0.2466178084496704
5,0.7,1.0,1.0,0.16999999999999993,0.78,0.95,0.2932129910333006
6,0.7,1.0,1.0,0.16999999999999993,0.66,0.83,0.6075443015448614
7,0.7,1.0,1.0,0.05500000000000005,0.845,0.9,0.42897684606533076
8,0.7,1.0,1.0,0.14,0.78,0.92,0.3387606135139592
9,0.7,1.0,1.0,0.12,0.84,0.96,0.20679668231114093
0,0.7,1.0,1.5,0.1150000000000001,0.82,0.935,0.3083980435776428
1,0.7,1.0,1.5,0.050000000000000044,0.855,0.905,0.2078475667452817
2,0.7,1.0,1.5,0.13,0.825,0.955,0.265096870862974
3,0.7,1.0,1.5,0.14500000000000002,0.725,0.87,0.3833762203298621
4,0.7,1.0,1.5,0.1050000000000001,0.83,0.935,0.23337525320542887
5,0.7,1.0,1.5,0.1499999999999999,0.795,0.945,0.2861301387012328
6,0.7,1.0,1.5,0.1449999999999999,0.685,0.83,0.5711941294094219
7,0.7,1.0,1.5,0.06500000000000006,0.85,0.915,0.3987576797156071
8,0.7,1.0,1.5,0.17499999999999993,0.765,0.94,0.34078903890485424
9,0.7,1.0,1.5,0.10499999999999998,0.855,0.96,0.21330845900230488
0,0.7,1.0,2.0,0.10999999999999999,0.83,0.94,0.2939416301929232
1,0.7,1.0,2.0,0.050000000000000044,0.86,0.91,0.2071243851057182
2,0.7,1.0,2.0,0.13,0.825,0.955,0.2649628560373609
3,0.7,1.0,2.0,0.125,0.725,0.85,0.3898932941458667
4,0.7,1.0,2.0,0.09500000000000008,0.84,0.935,0.2380840822627037
5,0.7,1.0,2.0,0.16999999999999993,0.78,0.95,0.2929429394929056
6,0.7,1.0,2.0,0.15500000000000003,0.71,0.865,0.562973128108496
7,0.7,1.0,2.0,0.06000000000000005,0.84,0.9,0.38932721544886795
8,0.7,1.0,2.0,0.14,0.775,0.915,0.34130403105658064
9,0.7,1.0,2.0,0.10499999999999998,0.86,0.965,0.22230513970297777
0,0.7,1.0,3.0,0.1050000000000001,0.83,0.935,0.2852251475982084
1,0.7,1.0,3.0,0.06500000000000006,0.865,0.93,0.20818845418832058
2,0.7,1.0,3.0,0.135,0.815,0.95,0.27143630707211047
3,0.7,1.0,3.0,0.12,0.725,0.845,0.3961107388005823
4,0.7,1.0,3.0,0.09499999999999997,0.85,0.945,0.24899721346201353
5,0.7,1.0,3.0,0.14500000000000002,0.785,0.93,0.3366812792242229
6,0.7,1.0,3.0,0.14500000000000002,0.73,0.875,0.5533296432992365
7,0.7,1.0,3.0,0.07000000000000006,0.835,0.905,0.39487206960028226
8,0.7,1.0,3.0,0.15000000000000002,0.76,0.91,0.35969893491155835
9,0.7,1.0,3.0,0.10499999999999998,0.855,0.96,0.24221362057539042
