seed,noise,bl_gain,e1_gain_logprod,residual
17,0.3,0.18000000715255737,0.125,0.05500000715255737
17,0.5,0.27500003576278687,0.15000003576278687,0.125
17,0.7,0.2549999952316284,0.125,0.12999999523162842
17,1.0,0.16999998688697815,0.09999999403953552,0.06999999284744263
18,0.1,0.0,0.0,0.0
18,0.3,0.06499999761581421,0.05500000715255737,0.009999990463256836
18,0.5,0.10500001907348633,0.20499998331069946,-0.09999996423721313
18,0.7,0.10500001907348633,0.17500001192092896,-0.06999999284744263
18,1.0,0.10000002384185791,0.15000003576278687,-0.050000011920928955
19,0.1,0.0,0.0,0.0
19,0.3,0.0350000262260437,0.04000002145767212,-0.004999995231628418
19,0.5,0.1899999976158142,0.13999998569488525,0.050000011920928955
19,0.7,0.18000000715255737,0.15999996662139893,0.020000040531158447
19,1.0,0.125,0.11500000953674316,0.009999990463256836
