seed_model,trial,wrong_trial,pred_t1,correct_t1,cos_div_t2,cos_div_t3,cos_div_mean
1,96,87,0,1,0.09980846468379034,0.016475218596828656,0.0581418416403095
1,97,20,4,1,0.1472619217792559,0.27672494861795327,0.21199343519860459
1,98,21,4,1,0.9259638680823284,1.2755402663692104,1.1007520672257693
1,99,195,2,1,0.048766185646905935,0.08918648485137948,0.0689763352491427
1,100,29,2,0,0.18371630428129404,0.2529061772427056,0.21831124076199981
1,101,39,3,1,0.018705057096482514,0.011042977455716252,0.014874017276099383
1,102,70,0,1,0.10416794349568814,0.055127807298234854,0.0796478753969615
1,103,106,4,1,0.046720791305512654,0.013922577692760396,0.030321684499136525
1,104,137,3,1,0.23778249483490332,0.36039445277431204,0.2990884738046077
1,105,91,4,1,0.11270924753747935,0.06096699486427726,0.0868381212008783
1,106,63,4,1,0.08327358048943767,0.14788041113423467,0.11557699581183617
1,107,192,1,1,0.03786340283916423,0.012085750033003495,0.024974576436083862
1,108,193,2,1,0.05049921232743093,0.006403075571213779,0.028451143949322355
1,109,174,1,1,0.39219637417498976,0.21762660549155632,0.30491148983327304
1,110,86,3,1,0.6339715389401979,0.7801095325335596,0.7070405357368788
1,111,74,3,1,0.14193414557580564,0.19508770667908992,0.16851092612744778
1,112,109,1,1,0.37152934621905864,0.28539607729212757,0.3284627117555931
1,113,185,2,1,0.19639506363699266,0.5773193297524413,0.38685719669471696
1,114,66,2,1,0.2536404226818766,0.5040570260216024,0.3788487243517395
1,115,13,3,1,0.12100997290340854,0.01638873565718635,0.06869935428029744
1,116,1,4,0,0.07985952043726285,0.05576514944252553,0.06781233493989419
1,117,48,1,1,0.12311237012197596,0.18221297969299532,0.15266267490748564
1,118,76,3,1,0.009947223146268724,0.016580136082304575,0.01326367961428665
1,119,164,4,1,0.10727472534326998,0.19092859997697786,0.14910166266012392
1,120,129,0,1,0.13350608538289976,0.02977956581562491,0.08164282559926234
1,121,176,4,1,0.0548902597182086,0.049325040327795944,0.05210765002300227
1,122,187,2,1,0.09153524546667113,0.27285610293219975,0.18219567419943544
1,123,108,2,1,0.04933707111501584,0.009518249832502379,0.02942766047375911
1,124,113,2,1,0.08203870359726395,0.15261607106443176,0.11732738733084785
1,125,71,2,0,0.202846822811663,0.3742185581192995,0.28853269046548125
1,126,128,3,1,0.13518488826961517,0.058865956453924784,0.09702542236176998
1,127,56,4,0,0.04264825533555072,0.12141394585334708,0.0820311005944489
1,128,28,3,1,0.09095488726785139,0.15050622498902444,0.12073055612843792
1,129,62,0,1,0.1619851331410571,0.007452010146263621,0.08471857164366037
1,130,144,2,0,0.18106126191869676,0.021946938195952836,0.1015041000573248
1,131,0,1,1,0.09992105348253721,0.015779150232987593,0.057850101857762404
1,132,173,1,1,0.028523103232635405,0.011511000583412145,0.020017051908023775
1,133,136,2,0,0.0004299635979365668,0.00242981545366594,0.0014298895258012534
1,134,63,4,1,0.1099711722503387,0.0934355792091901,0.1017033757297644
1,135,24,4,0,0.06099737628767854,0.40572110350265445,0.2333592398951665
1,136,29,2,0,0.007347727409694582,0.00773689156140045,0.007542309485547516
1,137,78,3,1,0.04525369860925399,0.034738518476559066,0.03999610854290653
1,138,93,1,1,0.396508860659469,0.495913120553959,0.446210990606714
1,139,151,3,1,0.5842870650660432,0.6519805270600185,0.6181337960630309
1,140,83,4,1,0.04922152232128152,0.015079786673318551,0.032150654497300035
1,141,160,0,1,0.021329686606965437,0.0011314314746787568,0.011230559040822097
1,142,146,4,1,0.01876296033229008,0.007495681171106328,0.013129320751698204
1,143,170,4,1,0.020537773648823254,0.017511219090002084,0.01902449636941267
1,144,65,2,0,0.5655135255000187,0.21147681808134944,0.38849517179068405
1,145,175,4,0,0.04216165253325199,0.08837342528367487,0.06526753890846343
1,146,91,4,1,0.051043837877632,0.013939137401882018,0.03249148763975701
1,147,135,4,0,0.011249307764210292,0.011618278480203914,0.011433793122207103
1,148,165,4,1,0.12279119659618909,0.1982712927580419,0.1605312446771155
1,149,108,2,1,0.014334671832300194,0.0003971384342053019,0.007365905133252748
1,150,130,2,0,0.7987436268256172,0.5829974306576544,0.6908705287416358
1,151,11,3,1,0.6059816018353956,0.7112213902283714,0.6586014960318836
1,152,143,4,1,0.028941298316901398,0.036767364303664674,0.032854331310283036
1,153,179,2,0,0.8411203659961841,0.7776483958650817,0.8093843809306329
1,154,125,2,0,0.2633836181681255,0.11279216236860257,0.18808789026836403
1,155,141,0,1,0.11447742211895506,0.0022282290772287494,0.058352825598091906
1,156,180,2,1,0.02726609975201877,0.0015499558482744424,0.014408027800146606
1,157,130,2,0,0.1710960247958382,0.08439126405134256,0.12774364442359037
1,158,169,4,0,0.32616334279192105,0.7034774122915279,0.5148203775417245
1,159,123,2,1,0.06594004836346068,0.06334867702428171,0.0646443626938712
1,160,46,0,1,0.08133522692617878,0.0016477274369020023,0.04149147718154039
1,161,33,3,1,0.0449850686099178,0.01432536178058641,0.029655215195252105
1,162,136,2,0,0.39855134932635894,0.21907068203608948,0.3088110156812242
1,163,186,2,1,0.27583510631988384,0.2297218199576292,0.2527784631387565
1,164,189,4,1,0.03952478315353647,0.03518419243412929,0.03735448779383288
1,165,20,4,1,0.036898097339255864,0.16127518399027407,0.09908664066476497
1,166,172,1,0,0.9604950461341822,1.3786549928232026,1.1695750194786925
1,167,77,1,1,0.09241266053092267,0.06042274177271556,0.07641770115181912
1,168,112,1,1,0.4489537123769184,0.1808504633813406,0.3149020878791295
1,169,27,4,0,0.18701051803260882,0.2212449295685418,0.2041277238005753
